Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value
F0semitoneFrom27.5Hz_sma3nz_amean,-2.096619065592867,0.036090664130006764,median,42.758135084690814,6.973372531338148e-11
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,1.2609171880683334,0.2074121522237582,median,27.595089969122206,1.5732833157854603e-07
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,-1.5172930078889977,0.12927217511950698,median,32.50599014915077,1.2738109445149238e-08
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,-1.1599116717293665,0.24615472108959455,median,50.105755397693216,1.7119955474489445e-12
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,-3.189844046118622,0.001434601882322145,median,38.68459028854757,5.491263280918805e-10
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,-2.236907527406506,0.02534771458655103,median,17.984981367513534,2.2767706252468126e-05
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.6581491712403472,0.5104803021490603,median,3.5990651296979954,0.057883870549953274
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,1.6886450933615376,0.09136535560408258,median,0.1764507202359124,0.6744638585716067
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.025297527589146263,0.9798189086801059,median,0.33172005857807013,0.5646803353587617
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,3.3883836021421465,0.0007099254540448445,median,5.388345268120658,0.02032158109966554
loudness_sma3_amean,6.413932682260599,1.5833612823977056e-10,median,6.025402715569636,0.01414361710713266
loudness_sma3_stddevNorm,-5.203762281493053,2.050743460691428e-07,median,4.053997645741702,0.04413357846445229
loudness_sma3_percentile20.0,6.537232856553579,7.077671951595099e-11,median,6.583753406143325,0.0103273930490966
loudness_sma3_percentile50.0,6.795966979241227,1.2351839530469854e-11,median,6.524338841429282,0.010677465072178921
loudness_sma3_percentile80.0,4.1523418439848365,3.359463553277923e-05,median,25.40317507448445,4.856789959661014e-07
loudness_sma3_pctlrange0-2,-0.19700149924380084,0.8438363595251501,median,14.696251526260005,0.00012823497220574223
loudness_sma3_meanRisingSlope,2.0415939243138976,0.04125749034552382,median,17.718563918775494,2.6172882793989242e-05
loudness_sma3_stddevRisingSlope,2.2438253366531526,0.02489801278920817,median,7.5861038556163205,0.005908527536450936
loudness_sma3_meanFallingSlope,2.454335415405215,0.014156749772094296,median,9.400489892793626,0.0021837282345824704
loudness_sma3_stddevFallingSlope,3.0618072188726626,0.002214643135499667,median,6.954838049206705,0.008391553217128776
spectralFlux_sma3_amean,3.3779111275454454,0.0007373507528153096,median,6.901133456501568,0.008646905044204749
