Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value
audSpec_Rfilt_sma[25]_linregc1,3.3519540146199915,0.0008098680664837436,median,22.032470475966367,2.770308930128467e-06
audSpec_Rfilt_sma[25]_linregc2,-5.401945386238651,6.975346217733761e-08,median,11.316784586882115,0.0007753077229499941
audSpec_Rfilt_sma[25]_linregerrQ,-4.8332232953859675,1.3944874438271758e-06,median,0.2850563159266296,0.5934357192983174
audSpec_Rfilt_sma[25]_qregc1,-2.238791271499681,0.02522464801971786,median,6.102214050433183,0.013542581054812802
audSpec_Rfilt_sma[25]_qregc2,2.9911990314576347,0.002795756743382202,median,18.48562568400883,1.752614096703615e-05
audSpec_Rfilt_sma[25]_qregc3,-4.978940366542165,6.662306305115303e-07,median,25.75373711608991,4.054599560909086e-07
audSpec_Rfilt_sma[25]_qregerrQ,-2.3358204240028226,0.019549761447220662,median,3.9831502440965205,0.04602507862632807
audSpec_Rfilt_sma[25]_centroid,3.7990923081424177,0.00014738291383627395,median,2.7756573627400565,0.0957854796633083
pcm_fftMag_fband250-650_sma_amean,6.2256296483953175,5.290602599256618e-10,median,67.09393300046906,3.4453949952707894e-16
pcm_fftMag_fband250-650_sma_flatness,2.304427347137132,0.02124954848480466,median,0.14716080378005614,0.7012838385101401
pcm_fftMag_fband250-650_sma_rqmean,3.2513599653394616,0.001158110000329497,median,63.03399924331728,2.616453217677771e-15
pcm_fftMag_fband250-650_sma_meanPeakDist,7.071497097022062,1.8075752612036054e-12,median,0.012495021043395524,0.9110025457613993
pcm_fftMag_fband250-650_sma_peakDistStddev,6.557424335720397,6.196228156918457e-11,median,0.4798844278520137,0.4885147956369329
pcm_fftMag_fband250-650_sma_peakRangeAbs,6.155650717451445,8.221320504266799e-10,median,4.427340447036874,0.03542969250511706
pcm_fftMag_fband250-650_sma_peakRangeRel,6.753870320032916,1.6467842766598257e-11,median,30.937090845716188,2.8390983079177282e-08
pcm_fftMag_fband250-650_sma_peakMeanAbs,0.4692533498715215,0.6389142352786064,median,22.791213678849598,1.870329026231153e-06
