104.4403	66.2857
110.2688	66.2857
120.2787	66.2857
138.519	66
151.0933	66.2857
161.2676	66.8571
174.0067	67.1429
187.7522	67.7143
198.2302	67.7143
211.5786	67.4286
228.2919	66.2857
246.3255	65.7143
271.6203	64.2857
302.7834	63.1429
330.2691	62.2857
348.7007	61.1429
392.9521	60.5714
438.0356	60
477.799	59.1429
515.5421	58
568.4824	57.1429
613.3888	55.7143
654.6931	54.8571
706.4096	54
770.5352	53.4286
831.4025	52.8571
887.3873	51.7143
936.9105	50.2857
1000	48.5714
1090.7767	46.2857
1151.6506	44.2857
1269.9119	42.5714
1385.1903	41.1429
1510.9332	39.7143
1630.2874	38.2857
1778.2794	36.8571
1918.7521	35.4286
2047.9567	34
2209.7322	32.5714
2333.0525	31.1429
2517.3489	29.7143
2686.8616	28
2899.1064	26
3196.811	23.4286
3563.5823	21.1429
3845.0825	18.5714
4239.9282	15.7143
4525.4355	13.7143
4882.916	12.2857
5326.1709	10.8571
5809.6631	11.4286
6337.0449	11.7143
7064.0962	11.7143
7458.3286	10.8571
7874.562	9.7143
8135.3711	8.2857
8589.3887	5.4286
8778.0127	2.8571
