151.5608	-58.3333
161.3151	-56.1628
171.6971	-54.2636
188.5363	-51.8217
207.0271	-49.6512
227.3313	-47.4806
252.2353	-45.5814
276.9733	-43.9535
310.527	-41.7829
340.9819	-40.155
366.7196	-38.7985
386.2846	-37.4419
411.1454	-35.814
433.0807	-33.6434
451.4686	-30.9302
480.5245	-25.7752
500.9268	-20.3488
533.1658	-12.2093
550.0552	-6.7829
585.4561	-2.9845
623.1354	-0.814
713.3015	1
808.0704	2.5
915.4303	2
1026.3292	0.5
1780.5917	0
2038.2389	-1.3566
2124.7791	-2.7132
2261.5271	-2.7132
2357.5479	-3.2558
2457.6453	-4.3411
2509.2766	-5.969
2561.9927	-9.2248
2698.679	-55.3488
2726.8794	-59.9612
2784.1667	-64.845
2872.3628	-60.7752
3057.2244	-56.7054
3121.4519	-61.0465
3287.9866	-64.3023
3392.1421	-66.4729
3536.1667	-61.8605
3648.1841	-56.9767
3842.8206	-54.5349
4047.8413	-52.3643
4308.3555	-51.2791
4585.6357	-51.2791
5035.3726	-52.3643
5472.0366	-53.1783
5704.3696	-53.1783
6199.0488	-52.907
6462.25	-52.907
7022.6519	-52.907
7397.3213	-54.2636
7631.6514	-54.8062
7955.6782	-55.8915
8207.6953	-58.876
8380.126	-62.4031
8735.9326	-65.3876
9202.0078	-68.3721
9395.3281	-69.186
