ID,Age,Gender,F_V_BCD,S_Z_BCD,SH_ZH_BCD,TH_DH_BCD,F_V_WCD,S_Z_WCD,SH_ZH_WCD,TH_DH_WCD,F_V_CO,S_Z_CO,SH_ZH_CO,TH_DH_CO,F_V_CD,S_Z_CD,SH_ZH_CD,TH_DH_CD,Condition
S051,65,male ,2744.4992491766816,2775.7525427017345,,748.8946759113703,1177.9909347677808,1478.8272559858983,1745.41589685023,1020.7342926959539,375.7467960814259,5319.084531594333,0.0,3225.752886443842,1.747182262918036,1.8769893431715996,,0.7231119810797118,cc
S061,60,female ,1739.7940930508844,1854.291469670657,,889.2000408243916,1312.0248708119593,1936.3941685410296,513.677839642489,541.3419190810562,1685.7009810198208,5346.246122726198,0.0,1626.1986281458767,1.1834612059483782,0.9547475940069869,,1.1614828937792583,cc
S036,73,male ,1365.4005139799556,2709.0251378032326,,1299.7141734764816,478.51888602681163,886.4131455861725,254.57508994835817,957.4518881134248,-156.0079777782953,414.4954317837123,0.0,1720.840809187163,2.065902527349396,2.629954223852209,,1.3518716595327824,cc
S041,57,female ,2524.0796572243753,3797.122673691986,,2620.3353882948286,1091.1714762944218,1721.3153960705106,822.9266613020689,1823.4315977582733,103.79489789755303,6189.90387664077,0.0,5712.347907726048,1.6785374330962868,2.2007337894208674,,1.379698316430264,cc
S059,57,female ,1498.9558152865966,1703.4611753375575,,162.1311727399127,31.86844314217302,1852.607209882237,229.61141984563028,464.90263153363713,-1435.2189290022504,4288.096585928279,0.0,3121.395135736807,33.25929092173058,0.9194090699385734,,0.2465979839862983,cc
S052,67,male ,2978.070335905951,1858.3097346687123,666.8570535117444,1293.8669262393846,1702.0176739258877,1541.377467631833,393.4310530654499,1124.886087762793,2303.2340597462025,3811.226278206906,517.6216096294286,5116.955883176359,1.5314681015446898,1.2056009705254624,1.1985305708489442,1.0878351305497667,cc
S002,62,female ,-685.0929897535034,13.406193458239613,,,1455.2536063240082,1013.5373858572411,755.193122438782,867.4168169029608,3473.6024360903416,4240.724605511039,0.0,0.0,-0.4616761663843862,0.012889673619631378,,,cc
S076,78,female ,368.8427277124758,920.8736056284986,,72.87113925309313,136.58925388168484,1345.7464607692057,430.99349865371573,69.65988229483364,-6.946116250770842,3973.175200868897,0.0,321.53067134379626,2.179102818458035,0.6841142686005642,,0.7397037580477357,cc
S058,69,female ,1180.7686493299782,1871.6425218452973,,-79.16310321009291,569.8308001585924,1189.8915897752581,24.77234970690847,924.8800773827177,649.2109561290231,1267.095498568081,0.0,5083.022711210181,1.9890785508564879,1.4158686338295947,,-0.08232822540039379,cc
S020,58,male ,34.28627960251288,337.66283196593383,,,54.58940293756074,222.24933457714508,34.07207496529708,137.84780110989666,86.73976400422288,504.50924139107474,0.0,0.0,0.44411661428730365,1.5068458736494175,,,cc
