ID,Age,Gender,P_VOT,B_VOT,T_VOT,D_VOT,K_VOT,G_VOT,F_COG,V_COG,S_COG,Z_COG,SH_COG,ZH_COG,TH_COG,DH_COG,IY_ERB,IH_ERB,UW_ERB,UH_ERB,AA_ERB,AE_ERB,IY_DUR,IH_DUR,UW_DUR,UH_DUR,AA_DUR,AE_DUR,Condition
S051,65,male ,0.026023271137155742,0.03744856785579565,0.04746926712322571,0.033851226420933384,0.04566181515188852,0.035635323489876115,2779.4836211274073,597.3469284250767,4563.779178941355,1603.682703187708,2681.3841411578437,,1819.7541088945875,1070.859432983217,3.9082394181595532,1.8970316088848869,3.247645326971525,1.327005981869362,2.7140461359434886,1.6860787327903972,0.12647058823529495,0.04864864864864823,0.13375000000000148,0.07166666666666661,0.12249999999999915,0.15333333333333346,cc
S061,60,female ,0.01232263282555124,0.020468727883084625,0.03968364494610669,0.02127721443683672,0.03797080573254949,0.033879704575937274,2654.9248508933924,915.1307578425079,4638.129886142223,2642.5003289939928,3633.31139749385,,2207.272482730692,1318.0724419063006,4.08768625139957,2.6536880907296547,5.932793451050693,3.958139689233721,3.4566988059535784,1.4970816522666102,0.12363636363636382,0.062142857142856014,0.15000000000000155,0.07571428571428511,0.17899999999999708,0.16636363636363558,cc
S036,73,male ,,0.03103076776575842,0.02879847536110643,0.03715053668624293,0.04098527160408443,0.029305854677692974,1935.8948440457148,570.4943300657593,4364.224944273039,1655.1998064698062,4114.270933525314,,2400.305746632627,1100.5915731561456,3.939836892499044,1.8475595648671408,3.6914267387111095,1.985012269570264,3.3261704982936844,1.656032158783333,0.09812499999999924,0.0443750000000005,0.11666666666666654,0.09499999999999886,0.11333333333333387,0.10600000000000058,cc
S041,57,female ,0.027553793992542264,0.037310369294839066,0.01961358142762841,0.024619874652766056,0.04173947731079256,0.01636769858162168,2082.8127640409057,503.5863646601374,5744.118148777611,1683.9846798357794,4235.316695580029,,2003.6423980715888,684.7900745113112,4.8428433154203745,2.0141189918789006,4.418396061159212,5.096427020227138,4.622022370245485,2.084002149402832,0.12857142857142945,0.05333333333333306,0.11249999999999892,0.06375000000000186,0.14874999999999894,0.1927272727272725,cc
S059,57,female ,,0.02574131529941348,0.0233534851592211,0.05227802096015447,0.014904154799874343,0.014190530483834044,2135.363661353943,636.4078460673462,3931.5454908753027,2228.084315537745,1780.7074063832056,,1120.5960077855245,785.6476609152581,2.451087027868696,2.5848716750537,,5.624700413719358,3.607606806323736,2.4871043150110745,0.06000000000000043,0.046521739130434836,0.030000000000001137,0.08000000000000007,0.1379999999999999,0.10799999999999983,cc
S052,67,male ,0.04333855132962583,0.028789673225992907,0.03866443747834749,0.02524565606127569,0.04880087273837341,0.011516340024747327,2623.227220587916,1100.1786402765106,4188.483422808297,2609.541490761403,2680.426055611322,2013.5690020995776,2795.967196212032,1306.5029181283933,3.692099768459102,2.9188188476715187,3.0353623911793983,2.7673424912339626,3.3844674249805866,3.4736428590116697,0.16352941176470612,0.07279069767441833,0.13142857142856862,0.07833333333333314,0.1583333333333322,0.18266666666666728,cc
S002,62,female ,0.02588369963370174,0.025465558838574747,0.023752664325118952,0.020731623818359024,0.02049591006436306,0.008348965848965642,1855.9916053838488,795.5353924263126,2867.6642839048,2854.2580904465613,2716.081113285456,,,2543.193986802504,3.9565906043756365,2.5727088486295457,,,,1.782096817466245,0.03666666666666697,0.03529411764705849,0.030000000000000693,0.03249999999999975,0.03000000000000012,0.05500000000000038,cc
S076,78,female ,0.02322038807808784,0.02602596880612396,0.03579354048371313,0.03834848393214863,0.0496660862961403,0.015791255660338344,844.763315752739,475.9205880402632,2620.6880061913034,1699.8144005628048,2753.4400791145586,,631.4908354544942,558.6196962014012,4.4911274542832205,2.826916777861629,4.605858802706092,3.890944602174657,3.696498914008988,2.604544904212361,0.11583333333333325,0.07166666666666642,0.12000000000000098,0.10000000000000024,0.1233333333333307,0.16999999999999968,cc
S058,69,female ,0.035565440712956864,0.027713563395529658,0.03003333251924545,0.024353263250908874,0.0392447071704655,0.013571925519199132,2080.98080221504,900.2121528850612,5577.073280250294,3510.0604945202936,3934.036048279975,,1086.044120425641,890.3884226119033,5.020952504117727,2.391029914091121,4.414609573497628,5.294054585400231,2.9583213945823545,1.6404808228625858,0.15538461538461534,0.05925925925925951,0.06499999999999773,0.07249999999999979,0.11833333333333287,0.16500000000000006,cc
S020,58,male ,,0.018650692274978287,0.052212635945431435,0.019826133518543305,0.025879732149550656,0.03413454270597338,547.8388844570972,513.5526048545844,891.5713079416635,553.9084759757296,665.6613741602042,,,561.3433246933921,2.558913954056607,1.7520104712280322,3.7466124496711815,0.9680006614433116,4.879724677823456,1.6401112954243586,0.0620000000000001,0.05277777777777784,0.16499999999999915,0.05000000000000026,0.2333333333333331,0.12800000000000047,cc
S040,66,female ,,0.02853140245997432,0.03202536704917645,0.022198973865641847,0.04409537552394749,0.028702255794092583,2057.9274030456204,698.7862685969797,976.1520005118516,1072.6933340189012,1350.182071023729,,,1066.2954807422843,4.418118191905452,3.7833103923183535,,3.5949284280713143,3.474292788146527,2.833078057894641,0.043333333333333,0.057777777777777824,0.04999999999999893,0.08499999999999952,0.14999999999999947,0.11999999999999986,cc
S035,66,female ,0.03697861139548072,,0.06010789996850777,0.030796414910362564,0.07134541819201523,0.012031368102789486,1588.8820664783705,1297.9788964971124,2970.6408925602477,1816.7426169272749,2762.5837804506264,,,2087.8859954141603,3.5213811113902844,3.773458971922344,6.313580816159201,3.399160731542862,4.879167284403864,2.246443287892631,0.06600000000000036,0.057272727272727336,0.1633333333333328,,0.14999999999999902,0.09500000000000244,cc
S015,70,female ,0.0443612006205972,0.0218204622758178,0.06081927103458911,0.04276993083589501,0.056462606286781375,0.012079833746500679,2203.2961428755534,842.9652081915683,4070.817992833527,3449.2798072468236,3400.3112142718237,,,1385.9370223037236,4.9344063815352595,4.028068179653083,5.407398152405614,,2.9557294578444218,2.046884226210349,0.14095238095238113,0.05642857142857146,0.15499999999999892,0.03999999999999974,0.08333333333333326,0.1085714285714279,cc
S007,71,male ,,0.011388888888888893,0.01830280180053423,0.020357761286332376,0.021634886277743414,0.011924860853432584,3225.640575155191,996.809884258131,3186.813093678622,2213.6822742273057,1914.7520140369586,,1498.2057084160103,2084.9865211644587,,3.457568082758642,,5.355238981976406,3.8376072718317817,,0.04000000000000039,0.03733333333333328,0.03000000000000025,0.030000000000000467,0.09333333333333298,0.029999999999999364,cc
S016,63,female ,0.016903189306024302,0.018869043098364457,0.0343085245203016,0.02345095349347126,0.063521714281352,0.03696308750772982,1037.019105574686,709.0550112821322,3250.9839649810106,2423.4817280504362,2126.610755022225,,622.1794714335706,783.7834894124884,3.9036449588828814,3.4275535448186707,5.0192018887015895,3.3572455881962853,3.185678303351859,1.76567395544514,0.07000000000000126,0.05294117647058815,0.1279999999999994,0.05000000000000012,0.2099999999999998,0.2,cc
S005,74,female ,0.031960965665731325,0.03402628324057204,0.03381277152306625,0.032917509337793804,0.03871549966788167,0.023403035456608125,3790.846675790874,1535.2045930117981,4913.516415535799,2754.504080712254,3523.12285459592,,2497.008357625045,2495.5198487043867,4.1656527798156535,2.9408828250056307,4.819638348964424,4.207587625511859,3.1194051406106236,1.113877968275052,0.09806451612903204,0.05928571428571385,0.11333333333333565,0.07399999999999914,0.10124999999999906,0.096666666666664,cc
S001,74,male ,0.016251228468838974,0.025877556623875364,0.03194326730592964,0.0216738217133702,0.05151333243278742,0.029668332650568893,1928.1644790370847,480.9450930402688,3927.4940035194813,1896.2869062909333,2967.416699891099,380.5187169407329,1044.1367617115106,598.9848954401981,3.35842800818658,2.1699674923364642,3.928011230696588,3.483751546710157,2.590060532580482,1.3356402911412204,0.08449999999999988,0.05466666666666698,0.13500000000000156,0.0940000000000012,0.12307692307692387,0.16142857142857078,
S012,77,male ,0.018010806646148996,0.03463398773414141,0.019730322110138192,0.03933667136591831,0.04190088428996702,0.014056407251896276,3009.555157174236,493.6171194587069,4519.957911993767,2070.6345663471675,2372.9386432301762,,,915.6320452842398,3.8937005710001062,2.132367814166284,3.533217819607061,4.107794996676351,4.039415373323556,2.08894103502775,0.16000000000000014,0.04571428571428639,0.21499999999999986,0.06999999999999851,0.12500000000000178,0.11555555555555655,cc
S077,77,female ,0.04667543846459985,0.014374737945148788,0.0397875653641876,0.017808948753663442,0.034468871264819706,0.024077451401158863,2584.534649387109,538.3847615715122,5222.309207598811,1431.6144384048687,3930.3760070792696,2606.7255654638384,,1053.433713000763,4.797715630224452,2.9225495936812163,4.986694123813325,3.2897351276086235,2.8219396150731506,1.1575861483174976,0.10428571428571456,0.06500000000000022,0.09799999999999967,0.07500000000000018,0.12933333333333386,0.10615384615384607,cc
S018,72,male ,0.012920057142085994,0.02763981920115644,0.02464490791568016,0.01923501354634253,0.0650128676663441,0.017961465401238403,2144.765359592581,587.449958041258,3064.0441744569475,1063.1564609622703,1836.2710460232968,,832.9381252074147,561.4987751645507,3.464503756881355,2.1606244239263286,3.9264270684854807,2.7374322078282707,4.3028501106290316,2.6161739273767872,0.07818181818181708,0.06884615384615443,0.09999999999999988,0.08666666666666778,0.18750000000000167,0.1530000000000009,cc
S017,65,female ,0.06393063285920775,0.027797632428485503,0.02550255006843909,0.05306286340895272,0.04645003367367129,0.013290022675736424,2443.696728012049,748.5417745404767,4507.6062503842995,3851.253068837984,2981.8414129628773,,999.4842038275141,1332.8371495064127,4.686850162172634,2.9495125148130645,,2.9660668701632025,4.567564806173853,1.533800138765522,0.12500000000000056,0.05615384615384634,0.03999999999999948,0.07666666666666681,0.09000000000000045,0.11555555555555605,cc
S048,64,male ,0.01615790962305219,0.02764045487390909,0.052211012404787135,0.033766968428845745,0.02801289705844369,0.022760284452883656,1075.8648086066926,644.0758243443796,2730.696127100134,1797.7942989449466,2422.425830687699,,651.5905537339971,530.7189651127006,3.0977887141690217,1.7129610111987317,2.10621087134328,3.140270710814673,2.2000847593837043,0.8538806215296506,0.07000000000000041,0.04545454545454489,0.05999999999999961,0.07666666666666681,0.07666666666666681,0.07999999999999967,cc
S009,67,male ,0.014804973937629027,0.020730765706956426,0.034384621682859245,0.03576221397649658,0.03008115471793817,0.01499639249639251,2523.816918614291,1058.207278484628,3850.119144242936,2906.555249728589,2485.5218327530515,,2240.573610448408,1603.2071308101974,3.4406005310594545,1.44533402560658,3.6970619087406327,1.5201538131811358,3.3777129630865854,0.8877461677398164,0.08700000000000019,0.0604761904761905,0.20000000000000065,0.1200000000000001,0.19500000000000006,0.0533333333333322,cc
S068,50,male ,0.016697072768501187,0.024625334982477654,0.02192547928262201,0.06415120593691981,0.02202236652236671,0.01883580705009269,552.3599600315204,2071.097752192015,2726.2838667835485,2040.662268800981,,,,1096.1816186594501,3.4610099045175566,,2.8935470432347588,,,,0.06833333333333365,0.029999999999999614,0.21,0.03249999999999975,0.04249999999999954,0.030000000000001137,cc
S067,57,male ,,0.04706091409589508,0.032693548126156664,0.01908955618648633,0.054060979074368735,0.011724655019198059,1200.8041766892675,477.3553432844876,4040.7080686285353,2458.0174081288897,2233.4484715865187,,1820.2279052081242,936.0653075554171,4.320019125112813,1.8821081447301424,3.6483737908286185,2.6450719592636402,3.262373182250481,2.353837783385813,0.15299999999999886,0.064736842105263,0.0966666666666658,0.10499999999999997,0.1766666666666666,0.18750000000000244,cc
S032,57,female ,,0.012615931582345752,0.03007815031674665,0.025141961140726643,0.055210135461456616,0.006575963718820965,2360.9195205951332,1009.8145690289807,5360.421982007949,2857.0695070555794,4773.368555821454,,1845.2381378986288,790.6924825760069,4.104446472012191,2.254880865874095,3.5542822310275217,3.558887099348922,2.190359815436619,1.865639428888404,0.11181818181818186,0.053571428571428825,0.28999999999999915,0.08000000000000007,0.1180000000000014,0.04666666666666567,cc
